Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock_1,Clock_2,dataOneMinPress
119,1,1,7460.jpg,227.357276759198,227.874933889907,229.27495731521,NaN,1,0,,,
120,1,1,7460.jpg,229.28670378089,229.804360911599,232.298493112467,0.729501644600532,1,0,,,
121,1,1,7460.jpg,232.31026040735,232.827915726841,233.827920556796,0.611849223103491,1,0,,,
122,1,1,4534.jpg,233.839708982763,234.357377584631,234.651456112551,NaN,1,0,,,
123,1,1,5622.jpg,234.663219483089,235.180880840024,235.87499517003,NaN,1,0,,,
124,1,1,7230.jpg,235.886764276162,236.404425934961,237.498574859565,NaN,1,0,,,
125,1,1,4531.jpg,237.510316495289,238.027954306148,239.027960645471,NaN,1,0,,,
126,1,1,7350.jpg,239.03972763849,239.557385372944,240.25150453292,NaN,1,0,,,
127,1,1,5270.jpg,240.263267299713,240.780929260392,243.180939101439,NaN,1,0,,,
128,1,1,5270.jpg,243.192704886955,243.71036050831,245.510415811354,0.588337877517915,1,0,,,
129,1,1,7340.jpg,245.52218069126,246.039794050448,248.53392594945,NaN,1,0,,,
130,1,1,4640.jpg,248.545695055567,249.063347960066,250.263351220288,NaN,1,0,,,
131,1,1,4653.jpg,250.275132703187,250.792789833897,253.192789109395,NaN,1,0,,,
132,1,1,4653.jpg,253.204551876202,253.722213535002,253.922207437179,0.517741353149177,1,0,,,
133,1,1,5270.jpg,253.933970203972,254.451627032802,256.051635605996,NaN,1,0,,,
134,1,1,7460.jpg,256.063399882143,256.581075125214,258.675187523244,NaN,1,0,,,
135,1,1,4608.jpg,258.68695210127,259.204612552581,259.898724769489,NaN,1,0,,,
136,1,1,4608.jpg,259.910491460629,260.428153421308,262.828162658596,0.847153462353162,1,0,,,
137,1,1,7351.jpg,262.839927236637,263.35758527297,265.357605800295,NaN,1,0,,,
138,1,1,4640.jpg,265.369384566337,265.887022075331,267.981147755752,NaN,1,0,,,
139,1,1,4653.jpg,267.992912937538,268.510573086969,270.004694722302,NaN,1,0,,,
140,1,1,7350.jpg,270.016458394719,270.534115827293,272.628246035805,NaN,1,0,,,
141,1,1,7350.jpg,272.640010613832,273.157671970766,274.051788353507,0.658911157705006,1,0,,,
142,1,1,7340.jpg,274.063551724059,274.581209156633,275.275327712865,NaN,1,0,,,
143,1,1,7402.jpg,275.287103158305,275.804751836593,276.698865502476,NaN,1,0,,,
144,1,1,4651.jpg,276.722400696002,277.240070807224,278.840065192402,NaN,1,0,,,
145,1,1,4531.jpg,278.851826751707,279.36948448616,281.463616807785,NaN,1,0,,,
146,1,1,4656.jpg,281.487151699417,282.004815169465,282.804804362415,NaN,1,0,,,
147,1,1,7430.jpg,282.828332914738,283.345991554816,284.440111197779,NaN,1,0,,,
148,1,1,2240.jpg,284.463645183801,284.981299899533,287.181310102824,NaN,1,0,,,
149,1,1,7450.jpg,287.19309430258,287.710732415318,289.310741592242,NaN,1,0,,,
150,1,1,5622.jpg,289.322507679637,289.840172357159,292.334293690627,NaN,1,0,,,
151,1,1,1720.jpg,292.346087852158,292.863715399362,293.46371521824,NaN,1,0,,,
152,1,1,5628.jpg,293.475509077907,293.993153831849,296.087268946721,NaN,1,0,,,
153,1,1,4534.jpg,296.099031109785,296.616689146103,298.416728751792,NaN,1,0,,,
154,1,1,4611.jpg,298.428460123832,298.946138385625,299.640237320142,NaN,1,0,,,
155,1,1,7230.jpg,299.652006728138,300.169670198171,301.463782837702,NaN,1,0,,,
156,1,1,7330.jpg,301.475551943819,301.993221149431,303.087326604393,NaN,1,0,,,
157,1,1,7402.jpg,303.099088163697,303.616751331865,305.216755980699,NaN,1,0,,,
158,1,1,4531.jpg,305.22852025686,305.746187953104,307.840307294202,NaN,1,0,,,
159,1,1,7330.jpg,307.852071872243,308.369728399208,308.769725863473,NaN,1,0,,,
160,1,1,7450.jpg,308.781490743379,309.299143949742,311.393277780735,NaN,1,0,,,
161,1,1,7230.jpg,311.405042358761,311.922711564373,314.122737465048,NaN,1,0,,,
162,1,1,7460.jpg,314.134469742712,314.652148910114,315.652131401512,NaN,1,0,,,
163,1,1,7460.jpg,315.663890243959,316.181557638338,317.381563011673,0.611870052307495,1,0,,,
164,1,1,7351.jpg,317.393331212181,317.910984418544,319.405148014164,NaN,1,0,,,
165,1,1,4611.jpg,319.416916818402,319.93453500756,321.734541407262,NaN,1,0,,,
166,1,1,7430.jpg,321.746306287154,322.263965530976,324.158089762408,NaN,1,0,,,
167,1,1,4653.jpg,324.16987335842,324.687511471158,326.687523244182,NaN,1,0,,,
168,1,1,2240.jpg,326.699285105366,327.216952801624,328.311079387655,NaN,1,0,,,
169,1,1,5270.jpg,328.322853323742,328.840487813999,330.040494092958,NaN,1,0,,,
170,1,1,5622.jpg,330.052291876971,330.569929385965,332.969947075704,NaN,1,0,,,
171,1,1,7340.jpg,332.981698371339,333.499346445868,334.993475929892,NaN,1,0,,,
172,1,1,4608.jpg,335.00524473413,335.522898846117,337.722910860655,NaN,1,0,,,
173,1,1,4651.jpg,337.734679061148,338.252331663782,339.052334139124,NaN,1,0,,,
174,1,1,1720.jpg,339.064097207796,339.581772450867,341.181768949144,NaN,1,0,,,
175,1,1,5628.jpg,341.19352809347,341.711184620435,343.311193193615,NaN,1,0,,,
176,1,1,4656.jpg,343.322961695987,343.840628486621,346.334747706976,NaN,1,0,,,
177,1,1,4656.jpg,346.346515907469,346.864168510103,347.264181067992,0.67069173498021,1,0,,,
178,1,1,7350.jpg,347.275937495477,347.793588588727,349.193603561609,NaN,1,0,,,
179,1,1,4534.jpg,349.205365120913,349.723016817923,351.12302213088,NaN,1,0,,,
